plant id,lat,lon,nerc,state
10761,36.2319,-115.1222,WECC,NV
1271,37.037344,-95.612689,SPP,KS
1272,39.394414000000005,-101.05837199999999,SPP,KS
1280,39.341621999999994,-101.705188,SPP,KS
1268,37.6953,-95.4586,SPP,KS
1274,38.354514,-98.58343599999999,SPP,KS
1279,37.507709000000006,-94.839318,SPP,KS
1287,39.4735,-95.73155,SPP,KS
1296,37.383109999999995,-98.070364,SPP,KS
10808,42.477109999999996,-114.380118,WECC,ID
10812,32.70516,-117.18966499999999,WECC,CA
10809,42.620723999999996,-114.531489,WECC,ID
10787,34.702021,-82.462102,SERC,SC
165,36.190278,-95.2894,SPP,OK
1826,43.0598,-86.2379,RFC,MI
1786,45.482084,-87.802178,RFC,MI
1843,46.530598,-87.392206,RFC,MI
1695,43.258767999999996,-86.24226800000001,RFC,MI
1698,44.259135,-85.939565,RFC,MI
1670,42.6986,-70.8697,NPCC,MA
1678,42.542949,-70.928314,NPCC,MA
1831,42.71839,-84.55808,RFC,MI
1761,41.8056,-85.7505,RFC,MI
1852,43.4019,-84.6014,RFC,MI
1700,44.472623999999996,-83.571947,RFC,MI
1701,43.437321999999995,-85.664462,RFC,MI
1702,43.644996,-83.840074,RFC,MI
1693,44.561961,-83.804505,RFC,MI
17,32.806025,-86.44489200000001,SERC,AL
1705,44.435381,-83.440722,RFC,MI
1706,45.0306,-84.7039,RFC,MI
182,36.421507,-93.847373,SPP,AR
171,34.635996999999996,-92.409602,SERC,AR
1710,42.910296,-86.20074,RFC,MI
1707,43.486618,-85.629866,RFC,MI
1866,42.2081,-83.1453,RFC,MI
1716,43.613001000000004,-85.479469,RFC,MI
1718,45.766859000000004,-84.756601,RFC,MI
1719,43.156746000000005,-83.628589,RFC,MI
1722,42.9528,-84.9025,RFC,MI
1723,41.792114,-83.44948000000001,RFC,MI
1712,44.4631,-83.7208,RFC,MI
172,35.6893,-89.994,SPP,AR
1713,43.8942,-86.4447,RFC,MI
1880,42.731,-85.8551,RFC,MI
1740,42.2739,-83.1119,RFC,MI
1728,42.2947,-83.1019,RFC,MI
1729,41.9631,-83.2581,RFC,MI
1734,42.45,-83.0381,RFC,MI
1595,42.3633,-71.0792,NPCC,MA
1592,42.140028,-71.44644100000001,NPCC,MA
16,32.680394,-85.91144200000001,SERC,AL
160,32.0603,-109.8931,WECC,AZ
1605,42.2119,-72.6036,NPCC,MA
1597,41.425785999999995,-70.608273,NPCC,MA
1743,42.7642,-82.4719,RFC,MI
1873,45.36282,-84.29496999999999,RFC,MI
1760,41.8436,-85.6694,RFC,MI
1604,42.1919,-72.6097,NPCC,MA
1615,41.2583,-70.0517,NPCC,MA
1607,42.200592,-72.594432,NPCC,MA
1751,46.4974,-84.33200000000001,RFC,MI
1772,46.7553,-88.4558,RFC,MI
1619,41.7103,-71.1931,NPCC,MA
1744,42.2639,-83.6422,RFC,MI
1777,46.1311,-88.225,RFC,MI
1634,42.5914,-72.7308,NPCC,MA
1643,42.336215,-73.235486,NPCC,MA
1629,42.5875,-72.5793,NPCC,MA
1785,46.1592,-88.2353,RFC,MI
1660,42.235,-70.9672,NPCC,MA
1682,41.8653,-71.1061,NPCC,MA
10708,40.7576,-121.4145,WECC,CA
10698,42.306809,-85.578969,RFC,MI
10621,43.0664,-76.2144,NPCC,NY
10725,42.5744,-73.8592,NPCC,NY
10692,29.759124,-95.009648,TRE,TX
1642,42.095,-72.595,NPCC,MA
10633,37.291667,-77.281111,SERC,VA
10613,45.1554,-67.4012,NPCC,ME
1073,41.944039000000004,-91.639167,MRO,IA
170,34.4341,-92.9049,SERC,AR
10726,42.1575,-72.5225,NPCC,MA
10641,40.474167,-78.7014,RFC,PA
10623,34.0564,-118.2436,WECC,CA
1708,44.36286,-85.819968,RFC,MI
1720,43.639927,-83.844712,RFC,MI
10646,41.475,-72.0688,NPCC,CT
10629,39.266040999999994,-76.629653,RFC,MD
10617,43.8861,-75.4342,NPCC,NY
1725,42.658653,-84.09518100000001,RFC,MI
10634,33.1777,-115.6033,WECC,CA
10642,40.7389,-73.5906,NPCC,NY
1599,41.7694,-70.5097,NPCC,MA
10635,33.8827,-117.5565,WECC,CA
1730,42.5497,-83.4425,RFC,MI
10661,40.303422,-121.244431,WECC,CA
10631,33.1779,-115.565,WECC,CA
10682,40.2415,-103.631,WECC,CO
10672,30.4225,-81.6064,FRCC,FL
10649,35.419181,-118.926643,WECC,CA
1603,42.2086,-72.6014,NPCC,MA
161,37.611461,-120.594678,WECC,CA
1630,42.117112,-72.86466300000001,NPCC,MA
10684,35.765,-117.3833,WECC,CA
10650,35.483736,-119.02985600000001,WECC,CA
162,37.621536,-120.746247,WECC,CA
10706,40.8579,-121.7225,WECC,CA
1067,42.069987,-90.69765699999999,MRO,IA
166,34.4425,-93.0262,SERC,AR
10697,30.7108,-91.3236,SPP,LA
10687,43.591246000000005,-75.344207,NPCC,NY
10707,40.8713,-121.9487,WECC,CA
10690,30.489721999999997,-91.18722199999999,SERC,LA
1631,42.4433,-73.2058,NPCC,MA
1286,38.513000000000005,-98.7747,SPP,KS
1769,46.5789,-87.395,RFC,MI
1774,46.6964,-89.2089,MRO,MI
1775,45.9472,-88.2189,RFC,WI
1787,45.3547,-87.6494,MRO,MI
18,33.9406,-87.1077,SERC,AL
1781,45.990781,-88.210514,RFC,MI
1856,41.9711,-85.5381,RFC,MI
1827,43.704076,-86.366256,RFC,MI
1821,46.106278,-88.33453100000001,RFC,MI
1877,43.8393,-85.426,RFC,MI
1832,42.692221999999994,-84.65722199999999,RFC,MI
1829,41.9061,-84.6319,RFC,MI
1733,41.8906,-83.3464,RFC,MI
1844,42.2717,-84.9411,RFC,MI
1830,42.7956,-86.1133,RFC,MI
1840,46.575965000000004,-87.40357900000001,RFC,MI
1853,43.732508,-83.45330600000001,RFC,MI
1855,41.7992,-85.4256,RFC,MI
1846,46.351975,-85.506408,RFC,MI
1874,43.4659,-83.3278,RFC,MI
1848,45.74123,-87.86278,RFC,MI
1875,43.7217,-82.9388,RFC,MI
1867,42.8067,-86.0558,RFC,MI
174,34.4272,-92.8941,SERC,AR
1735,43.8264,-83.2383,RFC,MI
1737,42.7106,-83.4569,RFC,MI
1741,42.1225,-83.185,RFC,MI
1745,42.1217,-83.1808,RFC,MI
1825,43.0706,-86.235,RFC,MI
1753,41.9439,-86.3289,RFC,MI
1754,41.839566,-86.35105,RFC,MI
1756,46.5392,-90.3742,MRO,WI
1778,45.807956,-88.125121,RFC,MI
1773,46.7261,-88.6625,MRO,MI
1374,37.7942,-87.0608,SERC,KY
1379,37.1517,-88.775,SERC,KY
1383,37.6461,-87.5019,SERC,KY
1416,32.5181,-93.7611,SPP,LA
1574,39.6572,-76.1752,RFC,MD
1380,36.8691,-85.147,SERC,KY
1376,38.2049,-84.2383,SERC,KY
1447,32.604639,-93.29435500000001,SPP,LA
1363,38.1831,-85.8892,SERC,KY
1391,30.4922,-91.1864,SERC,LA
1456,30.234627000000003,-92.27217399999999,SPP,LA
1394,30.2743,-91.1164,SERC,LA
1355,37.788309999999996,-84.71257,SERC,KY
1396,30.8439,-92.261111,SPP,LA
1417,32.7047,-93.9597,SPP,LA
1384,36.9981,-84.5919,SERC,KY
1377,37.0131,-88.2692,SERC,KY
1359,37.8297,-84.7247,SERC,KY
1409,30.0081,-89.9372,SERC,LA
1402,30.005066999999997,-90.461694,SERC,LA
1393,30.2844,-93.2911,SERC,LA
1401,29.359145,-89.53726400000001,SERC,LA
13,32.6189,-86.2548,SERC,AL
1486,43.4956,-70.4472,NPCC,ME
1464,30.6739,-91.3556,SERC,LA
1305,38.363411,-97.68335,SPP,KS
1312,39.8217,-100.5289,SPP,KS
1306,37.285176,-100.332438,SPP,KS
1493,43.8525,-70.7969,NPCC,ME
1472,45.2386,-68.6572,NPCC,ME
1403,29.9472,-90.1458,SERC,LA
1371,37.0217,-88.2211,SERC,KY
130,33.371506,-80.113235,SERC,SC
1497,44.548544,-69.710404,NPCC,ME
1324,38.890552,-101.751525,SPP,KS
1313,38.633183,-95.827658,SPP,KS
1509,44.763875,-69.71828000000001,NPCC,ME
1504,44.629517,-69.583527,NPCC,ME
1317,37.6359,-98.7433,SPP,KS
1307,39.1194,-97.7086,SPP,KS
