nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
SERC,2016,11,56180.700000000004,40026.3,15410.6,111617.6,0.5033319118131908,0.358602048422471,0.13806603976433823,2016-11-01
SERC,2016,12,56180.700000000004,40026.3,15407.6,111614.6,0.5033454404710495,0.3586116870015213,0.1380428725274292,2016-12-01
SERC,2017,1,56180.700000000004,40068.3,15261.6,111510.6,0.503814883966188,0.3593227908378217,0.13686232519599034,2017-01-01
SERC,2017,2,56180.700000000004,40068.3,15261.6,111510.6,0.503814883966188,0.3593227908378217,0.13686232519599034,2017-02-01
SERC,2017,3,56180.700000000004,40068.3,15261.6,111510.6,0.503814883966188,0.3593227908378217,0.13686232519599034,2017-03-01
SERC,2017,4,56180.700000000004,40068.3,15261.6,111510.6,0.503814883966188,0.3593227908378217,0.13686232519599034,2017-04-01
SERC,2017,5,57280.70000000001,40068.3,15261.6,112610.60000000002,0.5086617068020239,0.35581286308748905,0.1355254301104869,2017-05-01
SERC,2017,6,57280.70000000001,40068.3,15261.6,112610.60000000002,0.5086617068020239,0.35581286308748905,0.1355254301104869,2017-06-01
SERC,2017,7,57280.70000000001,40068.3,15261.6,112610.60000000002,0.5086617068020239,0.35581286308748905,0.1355254301104869,2017-07-01
SERC,2017,8,57280.70000000001,40164.100000000006,15261.6,112706.40000000002,0.5082293463370314,0.3563604196389912,0.1354102340239773,2017-08-01
SERC,2017,9,57280.70000000001,40164.100000000006,15261.6,112706.40000000002,0.5082293463370314,0.3563604196389912,0.1354102340239773,2017-09-01
SERC,2017,10,57280.70000000001,40164.100000000006,15261.6,112706.40000000002,0.5082293463370314,0.3563604196389912,0.1354102340239773,2017-10-01
SERC,2017,11,57280.70000000001,40164.100000000006,15261.6,112706.40000000002,0.5082293463370314,0.3563604196389912,0.1354102340239773,2017-11-01
SERC,2017,12,57280.70000000001,40164.100000000006,15261.6,112706.40000000002,0.5082293463370314,0.3563604196389912,0.1354102340239773,2017-12-01
SPP,2001,1,2226.8999999999996,3161.3,12944.9,18333.1,0.1214688186940561,0.17243674010396498,0.706094441201979,2001-01-01
SPP,2001,2,2226.8999999999996,3161.3,12951.499999999998,18339.699999999997,0.12142510509986532,0.17237468442777149,0.7062002104723633,2001-02-01
SPP,2001,3,2226.8999999999996,3161.3,12951.499999999998,18339.699999999997,0.12142510509986532,0.17237468442777149,0.7062002104723633,2001-03-01
SPP,2001,4,2226.8999999999996,3161.3,12951.499999999998,18339.699999999997,0.12142510509986532,0.17237468442777149,0.7062002104723633,2001-04-01
SPP,2001,5,2226.8999999999996,3161.3,12951.499999999998,18339.699999999997,0.12142510509986532,0.17237468442777149,0.7062002104723633,2001-05-01
SPP,2001,6,2226.8999999999996,3587.3,12957.500000000002,18771.7,0.1186307047310579,0.19110149853236522,0.6902677967365769,2001-06-01
SPP,2001,7,3421.5,3981.3,12957.500000000002,20360.300000000003,0.16804762208808316,0.1955423053687814,0.6364100725431354,2001-07-01
SPP,2001,8,3421.5,3981.3,12957.500000000002,20360.300000000003,0.16804762208808316,0.1955423053687814,0.6364100725431354,2001-08-01
SPP,2001,9,3719.5,3981.3,12957.500000000002,20658.300000000003,0.18004869713383964,0.19272156953863578,0.6272297333275245,2001-09-01
SPP,2001,10,3719.5,3981.3,12957.500000000002,20658.300000000003,0.18004869713383964,0.19272156953863578,0.6272297333275245,2001-10-01
SPP,2001,11,3719.5,3981.3,12957.500000000002,20658.300000000003,0.18004869713383964,0.19272156953863578,0.6272297333275245,2001-11-01
