year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,SERC,8,COW,248101.83467345085,4485688.103005273,2274739.1469299085
2016,SERC,8,HYC,1115951.1242263126,,
2016,SERC,8,NG,936214.5765652885,17727476.33018762,8442275.267386379
2016,SERC,8,OOG,16258.270555825993,,
2016,SERC,8,OTH,123925.22246913877,,
2016,SERC,8,PC,20739.767000000065,441230.0,105209.0
2016,SERC,8,PEL,7271.569940992241,111841.50090131619,58728.39397704469
2016,SERC,8,SUN,400828.1214223478,,
2016,SERC,8,WAS,149621.25023944315,,
2016,SERC,8,WND,2136.9234373259633,,
2016,SERC,8,WWW,557013.2071229799,,
2016,SERC,9,COW,169247.5707132176,3760280.3361928845,1560568.750521451
2016,SERC,9,HYC,1001478.4936112528,,
2016,SERC,9,NG,772669.2403279232,15539182.033650689,6821425.970544384
2016,SERC,9,OOG,20572.69706809152,,
2016,SERC,9,OTH,59299.27582137981,,
2016,SERC,9,PC,17754.352,330350.0,90060.0
2016,SERC,9,PEL,6757.481634546588,96310.45150465604,52367.354164181714
2016,SERC,9,SUN,374803.7715219441,,
2016,SERC,9,WAS,138458.80825866785,,
2016,SERC,9,WND,2481.882845890376,,
2016,SERC,9,WWW,528408.6013065046,,
2016,SERC,10,COW,123944.74149908956,3553432.1364522823,1043604.5055633025
2016,SERC,10,HYC,909393.1438157589,,
2016,SERC,10,NG,639641.8492803653,13769820.655989625,5631606.805983215
2016,SERC,10,OOG,15358.375999820822,,
2016,SERC,10,OTH,53211.30075521821,,
2016,SERC,10,PC,13878.207999999984,527711.0,70401.0
2016,SERC,10,PEL,6983.303274507124,87925.34175127183,47571.063433100564
2016,SERC,10,SUN,312539.4356792267,,
2016,SERC,10,WAS,138218.19119639925,,
2016,SERC,10,WND,2736.851774208295,,
2016,SERC,10,WWW,511619.65132073977,,
2016,SERC,11,COW,108885.40585920498,3347322.564331203,976688.9104293798
2016,SERC,11,HYC,737352.8896088554,,
2016,SERC,11,NG,588110.711985411,13529819.607544798,5232876.180787539
2016,SERC,11,OOG,15974.660467882455,,
2016,SERC,11,OTH,53786.12111767972,,
2016,SERC,11,PC,15123.320000000036,363928.0,76718.0
2016,SERC,11,PEL,7011.544063097205,61106.61229791588,31866.274170665492
2016,SERC,11,SUN,265648.29382151953,,
2016,SERC,11,WAS,137458.4245578077,,
2016,SERC,11,WND,2941.0171126484497,,
2016,SERC,11,WWW,532884.5175380601,,
2016,SERC,12,COW,148331.47212271177,4028376.0200458122,1360694.8584739468
2016,SERC,12,HYC,929084.8304590987,,
2016,SERC,12,NG,595960.9596350847,14208224.460760687,5347559.630361247
2016,SERC,12,OOG,15324.948434955924,,
2016,SERC,12,OTH,52919.18459195078,,
2016,SERC,12,PC,16823.904999999984,423765.0,85345.0
2016,SERC,12,PEL,9812.365762550324,125217.48703563465,73132.9952226844
2016,SERC,12,SUN,201768.66999999998,,
2016,SERC,12,WAS,151214.77093712677,,
2016,SERC,12,WND,3714.1711803869807,,
2016,SERC,12,WWW,558441.8859620218,,
2016,-,1,COW,41906.62749662484,1191174.3282516121,282550.31959935103
2016,-,1,HYC,41084.47788666368,,
2016,-,1,NG,4616.426184416556,139683.68199196606,43306.39588851999
2016,-,1,PEL,229.7422166652283,1099.033307219261,965.4549645859179
2016,-,1,WND,1154.326184969196,,
2016,-,1,WWW,192.31599189869604,,
2016,-,2,COW,35796.59223157001,1045469.2158028865,240064.3250013966
2016,-,2,HYC,82123.21007512251,,
